run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
ERR10958928	SAMEA112702604	ERX10397560	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/028/ERR10958928/ERR10958928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/028/ERR10958928/ERR10958928_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958928/DM00055V1PQ85_S141_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958928/DM00055V1PQ85_S141_L001_R2_001.fastq.gz	
ERR10958929	SAMEA112702605	ERX10397561	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/029/ERR10958929/ERR10958929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/029/ERR10958929/ERR10958929_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958929/DM00056V1PQ36_S142_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958929/DM00056V1PQ36_S142_L001_R2_001.fastq.gz	
ERR10958931	SAMEA112702607	ERX10397563	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10958931/ERR10958931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10958931/ERR10958931_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958931/DM00057V1PQ16_S144_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958931/DM00057V1PQ16_S144_L001_R2_001.fastq.gz	
ERR10958932	SAMEA112702608	ERX10397564	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/032/ERR10958932/ERR10958932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/032/ERR10958932/ERR10958932_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958932/DM00057V1PQ75_S145_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958932/DM00057V1PQ75_S145_L001_R2_001.fastq.gz	
ERR10958937	SAMEA112702613	ERX10397569	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/037/ERR10958937/ERR10958937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/037/ERR10958937/ERR10958937_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958937/DM00059V1PQ74_S150_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958937/DM00059V1PQ74_S150_L001_R2_001.fastq.gz	
ERR10958939	SAMEA112702615	ERX10397571	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10958939/ERR10958939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10958939/ERR10958939_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958939/DM00060V1PQ75_S152_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958939/DM00060V1PQ75_S152_L001_R2_001.fastq.gz	
ERR10958940	SAMEA112702616	ERX10397572	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10958940/ERR10958940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10958940/ERR10958940_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958940/DM00061V1PQ16_S153_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958940/DM00061V1PQ16_S153_L001_R2_001.fastq.gz	
ERR10958941	SAMEA112702617	ERX10397573	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/041/ERR10958941/ERR10958941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/041/ERR10958941/ERR10958941_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958941/DM00061V1PQ65_S154_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958941/DM00061V1PQ65_S154_L001_R2_001.fastq.gz	
ERR10958946	SAMEA112702622	ERX10397578	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10958946/ERR10958946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10958946/ERR10958946_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958946/DM00063V1PQ74_S159_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958946/DM00063V1PQ74_S159_L001_R2_001.fastq.gz	
ERR10958952	SAMEA112702628	ERX10397584	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10958952/ERR10958952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10958952/ERR10958952_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958952/DM00065V1PQ26_S165_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958952/DM00065V1PQ26_S165_L001_R2_001.fastq.gz	
ERR10958956	SAMEA112702632	ERX10397588	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10958956/ERR10958956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10958956/ERR10958956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958956/DM00067V1PQ11_S169_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958956/DM00067V1PQ11_S169_L001_R2_001.fastq.gz	
ERR10958957	SAMEA112702633	ERX10397589	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/057/ERR10958957/ERR10958957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/057/ERR10958957/ERR10958957_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958957/DM00067V1PQ41_S170_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958957/DM00067V1PQ41_S170_L001_R2_001.fastq.gz	
ERR10958959	SAMEA112702635	ERX10397591	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10958959/ERR10958959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10958959/ERR10958959_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958959/DM00067V1PQ83_S172_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958959/DM00067V1PQ83_S172_L001_R2_001.fastq.gz	
ERR10958962	SAMEA112702638	ERX10397594	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10958962/ERR10958962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10958962/ERR10958962_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958962/DM00068V1PQ75_S175_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958962/DM00068V1PQ75_S175_L001_R2_001.fastq.gz	
ERR10958972	SAMEA112702648	ERX10397604	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/072/ERR10958972/ERR10958972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/072/ERR10958972/ERR10958972_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958972/DM00072V1PQ75_S41_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958972/DM00072V1PQ75_S41_L001_R2_001.fastq.gz	
